n,p,b,c,b/c,pC,pD,pC > pD
14,0.2,6,1,6.0,0.669,0.683,0
14,0.2,7,1,7.0,0.668,0.696,0
14,0.2,8,1,8.0,0.668,0.655,1
14,0.2,9,1,9.0,0.701,0.633,1
14,0.2,10,2,5.0,0.643,0.687,0
14,0.2,12,2,6.0,0.673,0.628,1
14,0.2,14,2,7.0,0.679,0.639,1
14,0.2,16,2,8.0,0.712,0.643,1
14,0.2,18,2,9.0,0.702,0.646,1
14,0.2,15,3,5.0,0.581,0.682,0
14,0.2,18,3,6.0,0.624,0.649,0
14,0.2,21,3,7.0,0.681,0.667,1
14,0.2,24,3,8.0,0.658,0.619,1
14,0.2,27,3,9.0,0.734,0.591,1
14,0.4,5,1,5.0,0.67,0.703,0
14,0.4,6,1,6.0,0.648,0.657,0
14,0.4,7,1,7.0,0.705,0.589,1
14,0.4,8,1,8.0,0.654,0.583,1
14,0.4,9,1,9.0,0.678,0.632,1
14,0.4,10,2,5.0,0.695,0.671,1
14,0.4,12,2,6.0,0.655,0.7,0
14,0.4,14,2,7.0,0.66,0.597,1
14,0.4,16,2,8.0,0.644,0.63,1
14,0.4,18,2,9.0,0.704,0.598,1
14,0.4,15,3,5.0,0.68,0.677,1
14,0.4,18,3,6.0,0.663,0.648,1
14,0.4,21,3,7.0,0.645,0.604,1
14,0.4,24,3,8.0,0.685,0.63,1
14,0.4,27,3,9.0,0.678,0.62,1
14,0.6,5,1,5.0,0.638,0.677,0
14,0.6,6,1,6.0,0.618,0.654,0
14,0.6,7,1,7.0,0.707,0.632,1
14,0.6,8,1,8.0,0.647,0.603,1
14,0.6,9,1,9.0,0.66,0.636,1
14,0.6,10,2,5.0,0.596,0.684,0
14,0.6,12,2,6.0,0.624,0.648,0
14,0.6,14,2,7.0,0.679,0.625,1
14,0.6,16,2,8.0,0.678,0.643,1
14,0.6,18,2,9.0,0.673,0.699,0
14,0.6,15,3,5.0,0.647,0.642,1
14,0.6,18,3,6.0,0.639,0.633,1
14,0.6,21,3,7.0,0.674,0.67,1
14,0.6,24,3,8.0,0.688,0.604,1
14,0.6,27,3,9.0,0.669,0.564,1
14,0.8,5,1,5.0,0.604,0.654,0
14,0.8,6,1,6.0,0.62,0.669,0
14,0.8,7,1,7.0,0.687,0.64,1
14,0.8,8,1,8.0,0.673,0.601,1
14,0.8,9,1,9.0,0.643,0.644,0
14,0.8,10,2,5.0,0.582,0.677,0
14,0.8,12,2,6.0,0.67,0.659,1
14,0.8,14,2,7.0,0.654,0.66,0
14,0.8,16,2,8.0,0.738,0.659,1
14,0.8,18,2,9.0,0.668,0.599,1
14,0.8,15,3,5.0,0.66,0.65,1
14,0.8,18,3,6.0,0.632,0.663,0
14,0.8,21,3,7.0,0.698,0.603,1
14,0.8,24,3,8.0,0.679,0.566,1
14,0.8,27,3,9.0,0.702,0.568,1
16,0.2,5,1,5.0,0.529,0.526,1
16,0.2,6,1,6.0,0.565,0.555,1
16,0.2,7,1,7.0,0.524,0.505,1
16,0.2,8,1,8.0,0.537,0.548,0
